Time,Film
10:58:01,"1.      The Shawshank Redemption(1994)
9.2
"
10:58:01,"2.      The Godfather(1972)
9.1
"
10:58:01,"3.      The Godfather: Part II(1974)
9.0
"
10:58:01,"4.      The Dark Knight(2008)
9.0
"
10:58:01,"5.      12 Angry Men(1957)
8.9
"
10:58:01,"6.      Schindler's List(1993)
8.9
"
10:58:01,"7.      The Lord of the Rings: The Return of the King(2003)
8.9
"
10:58:01,"8.      Pulp Fiction(1994)
8.8
"
10:58:01,"9.      Il buono, il brutto, il cattivo(1966)
8.8
"
10:58:01,"10.      The Lord of the Rings: The Fellowship of the Ring(2001)
8.8
"
10:58:01,"11.      Fight Club(1999)
8.8
"
10:58:01,"12.      Forrest Gump(1994)
8.8
"
10:58:01,"13.      Inception(2010)
8.7
"
10:58:01,"14.      Star Wars: Episode V - The Empire Strikes Back(1980)
8.7
"
10:58:01,"15.      The Lord of the Rings: The Two Towers(2002)
8.7
"
10:58:01,"16.      The Matrix(1999)
8.6
"
10:58:01,"17.      Goodfellas(1990)
8.6
"
10:58:01,"18.      One Flew Over the Cuckoo's Nest(1975)
8.6
"
10:58:01,"19.      Shichinin no samurai(1954)
8.6
"
10:58:01,"20.      Se7en(1995)
8.6
"
10:58:01,"21.      La vita è bella(1997)
8.6
"
10:58:01,"22.      Cidade de Deus(2002)
8.6
"
10:58:01,"23.      The Silence of the Lambs(1991)
8.6
"
10:58:01,"24.      It's a Wonderful Life(1946)
8.6
"
10:58:01,"25.      Star Wars(1977)
8.6
"
10:58:01,"26.      Gisaengchung(2019)
8.5
"
10:58:01,"27.      Saving Private Ryan(1998)
8.5
"
10:58:01,"28.      Sen to Chihiro no kamikakushi(2001)
8.5
"
10:58:01,"29.      The Green Mile(1999)
8.5
"
10:58:01,"30.      Interstellar(2014)
8.5
"
10:58:01,"31.      Léon(1994)
8.5
"
10:58:01,"32.      The Usual Suspects(1995)
8.5
"
10:58:01,"33.      Seppuku(1962)
8.5
"
10:58:01,"34.      The Lion King(1994)
8.5
"
10:58:01,"35.      American History X(1998)
8.5
"
10:58:01,"36.      The Pianist(2002)
8.5
"
10:58:01,"37.      Terminator 2: Judgment Day(1991)
8.5
"
10:58:01,"38.      Back to the Future(1985)
8.5
"
10:58:01,"39.      Modern Times(1936)
8.5
"
10:58:01,"40.      Psycho(1960)
8.5
"
10:58:01,"41.      Gladiator(2000)
8.5
"
10:58:01,"42.      City Lights(1931)
8.5
"
10:58:01,"43.      The Departed(2006)
8.5
"
10:58:01,"44.      The Intouchables(2011)
8.5
"
